mgi_symbol_a,mgi_symbol_b,dip_id_a,dip_id_b,uniprot_id_a,uniprot_id_b,interaction_types,interaction_detection_methods,confidence_value
Casp4,Gsdmd,DIP-61776N,DIP-61777N,P70343,Q9D8T2,MI:0570(protein cleavage),MI:0435(protease assay),dip-quality-status:core
Wdr5,Rbbp5,DIP-38618N,DIP-61809N,P61965,Q8BX09,MI:0915(physical association),MI:0096(pull down),dip-quality-status:core
Shc1,Shc1,DIP-271N,DIP-271N,P98083,P98083,MI:0407(direct interaction)|MI:0407(direct interaction),MI:0071(molecular sieving)|MI:0808(comigration in sds page),dip-quality-status:core
Cav1,Tgfbr1,DIP-35140N,DIP-42262N,P49817,Q64729,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Tgfbr1,Ap2b1,DIP-42262N,DIP-32161N,Q64729,Q9DBG3,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Clock,Ddb1,DIP-30958N,DIP-56812N,O08785,Q3U1J4,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ddb1,Arntl,DIP-56812N,DIP-43977N,Q3U1J4,Q9WTL8,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Map1lc3b,Src,DIP-61580N,DIP-31071N,Q9CQV6,P05480,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Nlrp6,Dhx15,DIP-61874N,DIP-61875N,Q91WS2,O35286,MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mavs,Dhx15,DIP-43890N,DIP-61875N,Q8VCF0,O35286,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Clock,Wdr76,DIP-30958N,DIP-59892N,O08785,A6PWY4,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Klf4,Ctnnb1,DIP-59920N,DIP-31560N,Q60793,Q02248,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Sun2,Syne2,DIP-49694N,DIP-61049N,Q8BJS4,Q6ZWQ0,MI:0407(direct interaction)|MI:0915(physical association),MI:0096(pull down)|MI:0018(two hybrid),dip-quality-status:core
Btg4,Cnot8,DIP-61987N,DIP-61988N,O70552,Q9D8X5,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Kdm1a,Cebpa,DIP-38599N,DIP-44054N,Q6ZQ88,P53566,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Brd4,Cebpa,DIP-42181N,DIP-44054N,Q9ESU6,P53566,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Pitx2,Nfe2l2,DIP-37454N,DIP-49666N,P97474,Q60795,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mecp2,Sin3a,DIP-39984N,DIP-469N,Q9Z2D6,Q60520,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mta2,Zbtb7a,DIP-36630N,DIP-33318N,Q9R190,O88939,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Cebpa,Hdac1,DIP-44054N,DIP-31499N,P53566,O09106,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Wdr5,Cebpa,DIP-38618N,DIP-44054N,P61965,P53566,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cebpa,Dpy30,DIP-44054N,DIP-61810N,P53566,Q99LT0,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cebpa,Rbbp5,DIP-44054N,DIP-61809N,P53566,Q8BX09,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ash2l,Cebpa,DIP-39161N,DIP-44054N,Q91X20,P53566,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mecp2,Tbl1xr1,DIP-39984N,DIP-38606N,Q9Z2D6,Q8BHJ5,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Ptk2,Mef2c,DIP-31045N,DIP-49524N,P34152,Q8CFN5,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0114(x-ray crystallography)|MI:1247(mst)|MI:0053(fluorescence polarization spectroscopy)|MI:0826(x ray scattering)|MI:0096(pull down),dip-quality-status:core
Becn1,Bcl2l11,DIP-41636N,DIP-29214N,O88597,O54918,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Becn1,Atg14,DIP-41636N,DIP-60849N,O88597,Q8CDJ3,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
